user_id,movie_id,movie_name,genre,timestamp,watched_duration_pct,liked,disliked,watch_later,shared,re_watched,watched_full,device_type,transaction_type,amount_paid,country,language,user_rating,age_group,safety_flag,data_source,mood,search_query,search_keywords,session_id,tags,transaction_type_enc,session_freq,search_len,cluster_exp1,cluster_exp2,cluster_exp3,cluster_exp4
c5fa3f7a-b0a4-4684-99d7-8a3b00241795,def85dab-ef16-428c-9625-91e1d5c05d2f,Agent every,Sci-Fi,2024-11-03 00:23:11,20.02,0,0,0,0,1,0,tv,purchase,226.08,Burundi,French,3.2,18-25,1,synthetic_v1,exciting,Quality throughout beautiful,"['quality', 'throughout', 'beautiful']",a0a904d3-234d-4510-8f18-03128cdbbdc0,"['Horror', 'mysterious']",2.0,1,3,1,0,0,0
0af83eb4-1884-448c-832e-32d9dc2ae023,21d00494-71db-4f81-8bed-918893dab8a3,All behavior discussion,Romance,2025-03-30 03:07:58,64.18,0,0,0,0,0,0,web,rental,130.94,Anguilla,English,3.2,26-35,1,synthetic_v1,funny,Current practice nation determine operation speak,"['current', 'practice', 'nation', 'determine', 'operation', 'speak']",e8371aa2-56a9-4b97-abd7-da1036715d9a,"['Sci-Fi', 'Romance', 'Drama']",1.0,1,6,2,2,1,1
718d4cb8-8b1f-451a-8aef-e412e91a7333,57064a20-2abf-428a-becf-5dfcdb77e2e7,Song,Comedy,2025-06-17 06:41:29,96.15,1,0,1,1,0,0,tv,subscription,0.0,Cayman Islands,English,3.9,60+,1,synthetic_v1,exciting,Future choice whatever from behavior,"['future', 'choice', 'whatever', 'from', 'behavior']",1247074d-90ef-40a5-ae99-d551f7138bc9,"['Comedy', 'romantic', 'Romance']",0.0,1,5,0,1,0,0
26e1a02b-eec7-48b9-93fc-c0bf4940b066,d7eb6835-7796-4036-9caa-eb9eb78ac441,Grow gas,Thriller,2024-11-19 01:25:29,66.58,0,0,0,0,1,0,tv,subscription,0.0,Sri Lanka,Spanish,3.2,18-25,1,synthetic_v1,mysterious,Role movie win,"['role', 'movie', 'win']",51b28aee-7e7e-4ccf-bce1-1471487797ee,"['mysterious', 'Comedy']",0.0,1,3,1,2,0,0
0668938b-439a-4e22-a650-a42177fa1d35,e313d0ad-70fc-45f2-bccc-2a5ebbfacf86,Bad fall pick,Horror,2025-07-18 04:55:12,35.02,0,0,0,0,0,0,web,purchase,405.06,Tokelau,English,3.2,60+,1,synthetic_v1,funny,Officer relate animal direction eye,"['officer', 'relate', 'animal', 'direction', 'eye']",9a46e3ac-5339-4af5-b614-1f16592bc49a,"['romantic', 'inspiring']",2.0,1,5,0,0,1,1
1a064247-9103-4d47-a5a5-818e82e77f88,39a5a3e7-90ef-4605-9523-4967fa339604,Talk term,Comedy,2025-01-02 22:56:41,24.71,0,0,0,0,0,0,tv,subscription,0.0,Fiji,English,3.2,26-35,1,synthetic_v1,mysterious,Player half have decide environment,"['player', 'half', 'have', 'decide', 'environment']",c49cff2d-0a08-47b2-bb0c-fc1db9b9f365,"['funny', 'Sci-Fi']",0.0,1,5,2,2,0,0
63a8caef-48d2-43a6-9432-4519f4a68834,a2267a0d-6379-4b27-afab-ed7e21183805,Participant commercial,Horror,2025-05-18 11:51:57,34.1,0,1,0,0,0,0,tv,subscription,0.0,Ecuador,French,3.2,26-35,1,synthetic_v1,chill,Left establish understand read,"['left', 'establish', 'understand', 'read']",25761f2d-494f-4f85-8757-e57d2d73ee1a,"['Horror', 'inspiring']",0.0,1,4,0,2,0,0
f8ee273b-7584-442d-85be-d00d940c6a7b,88a8ace6-4714-4853-8d1c-f4689af9427c,Range successful,Romance,2025-06-05 16:45:18,58.51,0,0,0,0,0,0,mobile,rental,59.09,Azerbaijan,English,3.2,18-25,1,synthetic_v1,romantic,Start source husband at,"['start', 'source', 'husband', 'at']",b4bd4ce1-0f36-45b2-95a5-e7d15048a6d3,"['Drama', 'funny', 'dark', 'Thriller']",1.0,1,4,1,2,2,0
c316ce2b-e271-436d-b9a9-940c72c29130,39c8177c-99c7-49a6-a1f1-1ac7558960c9,Then fire pretty,Romance,2025-01-08 23:28:05,15.72,0,0,0,0,0,0,mobile,rental,61.46,Turks and Caicos Islands,German,3.2,36-45,1,synthetic_v1,mysterious,Central cause seat much section,"['central', 'cause', 'seat', 'much', 'section']",afc17481-e980-4238-9966-be779efbca00,"['Sci-Fi', 'Comedy', 'Romance', 'Thriller']",1.0,1,5,2,2,2,0
34479592-29ab-4b17-926b-03817173d987,48b31863-6fb9-4ded-a1f7-16222dbcc90e,Today human despite,Comedy,2024-10-01 01:15:25,50.84,0,0,0,0,0,0,mobile,rental,60.64,Madagascar,Spanish,3.2,60+,1,synthetic_v1,inspiring,Before another body physical society instead,"['before', 'another', 'body', 'physical', 'society', 'instead']",23dcbcfb-36ae-4fa0-a44d-504e4f9fea9b,"['Drama', 'Sci-Fi']",1.0,1,6,2,2,2,2
a960a709-68d9-4846-b86e-5d969cf2b4d8,484a0d7f-3273-4054-a091-de13b74a7e5e,His other,Thriller,2025-02-06 02:27:10,24.54,0,0,0,0,0,0,web,subscription,0.0,Malta,Spanish,3.2,36-45,1,synthetic_v1,romantic,Wife team activity result,"['wife', 'team', 'activity', 'result']",12855310-a7b0-4e3b-890b-2bf853c624d1,"['Horror', 'chill']",0.0,1,4,1,2,1,0
754f5cdc-e218-43ff-9438-dff14c5474df,38bc9617-1de4-43cc-bd83-936e3f20cd04,Seem shoulder future,Action,2024-11-30 07:31:52,17.71,0,0,1,0,0,0,mobile,rental,144.68,Jordan,Hindi,3.2,36-45,1,synthetic_v1,inspiring,Law west then enjoy,"['law', 'west', 'then', 'enjoy']",7399ea3e-0524-4ad0-a873-cec2bf29033e,"['Thriller', 'Horror', 'romantic', 'funny']",1.0,1,4,1,2,2,2
a5d9a56d-9e26-437f-9ac6-a5d918111f9c,1f0cd6fa-ebb7-4b6a-901f-a58b46589ccc,Seven medical blood,Sci-Fi,2025-04-08 04:07:54,38.05,0,0,0,0,0,0,mobile,subscription,0.0,French Southern Territories,English,3.2,36-45,1,synthetic_v1,exciting,Participant check several much single morning,"['participant', 'check', 'several', 'much', 'single', 'morning']",01ad3302-9a17-4ec0-b955-5e5cab061960,"['romantic', 'Horror', 'chill', 'funny']",0.0,1,6,1,2,2,0
7a2dce19-4757-4a81-a195-6980211a76ff,6f780f7f-c49f-42d0-9ae0-6b76d7a3ac0a,Place,Action,2024-12-12 05:15:54,16.39,0,0,0,0,0,0,mobile,rental,77.85,Liechtenstein,French,3.2,26-35,1,synthetic_v1,inspiring,Born guy world,"['born', 'guy', 'world']",7204531b-ba0b-4036-b771-00a52bc4da32,"['inspiring', 'chill']",1.0,1,3,1,2,2,2
e7a08f29-cf7c-484d-8a84-f26f1020a76e,1e20fe6a-b333-4456-9af9-55da442b0625,Dream drive,Romance,2025-03-16 16:03:41,52.54,0,0,0,0,1,0,web,subscription,0.0,Yemen,French,3.2,46-60,1,synthetic_v1,mysterious,Beat magazine attorney,"['beat', 'magazine', 'attorney']",6296f5f2-7aae-4fcd-95a1-5366b30aa853,"['Action', 'dark', 'funny', 'inspiring']",0.0,1,3,1,2,1,0
9af359ba-331a-4f82-9bce-d2105d6ce00e,9c5f508a-65ce-4c95-b9cd-497d30bc67f0,She campaign little,Action,2025-03-09 20:27:09,15.46,0,0,0,0,0,0,tv,subscription,0.0,Chad,French,3.2,26-35,1,synthetic_v1,chill,Month parent who up,"['month', 'parent', 'who', 'up']",abe17218-c455-4f0f-977b-b1edb2d4f00b,"['Horror', 'Comedy', 'exciting']",0.0,1,4,1,2,0,0
0d8af136-ccea-4875-b28a-ea05fda3b8f0,89102704-cd7e-4bf5-bbc2-d6881c210001,Require human,Thriller,2025-04-26 04:29:16,87.52,1,0,1,0,0,0,mobile,free,0.0,Pakistan,Hindi,1.7,46-60,1,synthetic_v1,dark,Just military building different full,"['just', 'military', 'building', 'different', 'full']",05b2c2b7-bdb3-499e-bcd8-40cce53c3ad7,"['mysterious', 'Thriller']",0.0,1,5,1,1,2,0
